node_id,x,y,name
10062964135,112.7966135,-7.2898663,
10062964137,112.7966181,-7.2902142,
2110227972,112.7930072,-7.2757752,
2110227973,112.7930782,-7.2760614,
2110227981,112.7930803,-7.2764671,
2110227994,112.7927103,-7.2771343,
2110228000,112.7911956,-7.2772374,
2110228004,112.7911064,-7.2772914,
2110228012,112.7914817,-7.2775435,
2110228016,112.7914805,-7.2776971,
9676342836,112.7957009,-7.2819577,
9676342837,112.7956749,-7.2819872,
2110228023,112.7908074,-7.2781016,
9676342840,112.7958034,-7.2798526,
2110228025,112.7902379,-7.2781411,
2110228031,112.792511,-7.2790005,
9676342839,112.795326,-7.282299,
12777654382,112.7983866,-7.2783952,
7679624817,112.7960408,-7.2836599,
7679624818,112.796643,-7.283684,
7679624821,112.7982157,-7.2788538,
12777654385,112.7990603,-7.2784062,
12777654384,112.8000172,-7.2784442,
7030523530,112.8008546,-7.2799409,
12777654394,112.7990735,-7.278988,
12777654395,112.799457,-7.2784183,
3716556499,112.8040619,-7.2742165,
3125225623,112.7910658,-7.2884157,
12567021363,112.7977248,-7.28133,
12567021364,112.7973904,-7.2814834,
4188931895,112.8010074,-7.290187,
4188931896,112.8006658,-7.2900762,
7679387533,112.8017851,-7.2760515,
6876981185,112.8018451,-7.2828404,
6876981199,112.7974819,-7.2825255,
6876981201,112.7974744,-7.2819207,
6876981206,112.7999373,-7.2754432,
6876981207,112.8002445,-7.2753615,
9719728094,112.7916952,-7.2780714,
9719728095,112.7915736,-7.2780707,
831064113,112.7979686,-7.2744533,
6618556518,112.8013836,-7.285964,
6618556528,112.7996879,-7.2880964,
12777654390,112.7986383,-7.2793039,
12777654391,112.7988264,-7.2792521,
4466018439,112.8004576,-7.2743688,
5560690824,112.7973868,-7.2781858,
4466018441,112.7998502,-7.2743966,
5560690823,112.7974744,-7.278084,
6618556550,112.8007474,-7.287686,
5560690830,112.7955359,-7.2788615,
4466018448,112.800485,-7.2746028,
5560690834,112.7916812,-7.2797852,
5560690838,112.7941096,-7.280257,
5560690840,112.7933412,-7.2794495,
5560690846,112.7928116,-7.2807703,
5560690849,112.7925789,-7.2818302,
4466018463,112.800751,-7.2760977,
5560690853,112.7995241,-7.2819354,
5560690854,112.7995671,-7.2834233,
5560690855,112.7985794,-7.2815287,
5560690858,112.7995881,-7.2796992,
5560690860,112.7986486,-7.2799238,
5560690861,112.7980328,-7.2799021,
5560690859,112.7990073,-7.2802414,
5560690865,112.7951262,-7.2793679,
5560690866,112.7951113,-7.2794848,
5560690862,112.8001231,-7.280273,
6618556598,112.7998429,-7.2861874,
6618556600,112.7999291,-7.2858615,
6618556602,112.800068,-7.2855087,
6618556595,112.7997887,-7.286419,
6618556612,112.8003336,-7.2850993,
6618556623,112.7984571,-7.2892587,
6618556624,112.7976796,-7.2859877,
6618556638,112.7975696,-7.2885367,
5556132772,112.8010592,-7.2876214,
10223331629,112.8011524,-7.2819432,
6869395857,112.8010783,-7.2842164,
6869395861,112.8007641,-7.2843969,
6869395864,112.7963251,-7.2778299,
6869395865,112.7963204,-7.2779151,
6419589564,112.8008059,-7.2744893,
3122244053,112.800982,-7.2871011,
5291764231,112.79488,-7.2761195,
5291764233,112.7949389,-7.2758128,
6402008011,112.7941969,-7.2825775,
4539165260,112.800765,-7.2742134,
4539165263,112.8005626,-7.2742766,
1365142117,112.7951823,-7.2753171,
1365142119,112.7946259,-7.275428,
2536041066,112.7958233,-7.2881084,
2536041076,112.7962735,-7.2858749,
2536041079,112.7948919,-7.286217,
2536041077,112.7962905,-7.2859794,
2536041078,112.7948854,-7.2861106,
2536041082,112.7981962,-7.2856648,
2536041083,112.7992979,-7.2841238,
2536041084,112.7993767,-7.2841215,
2536041080,112.7976439,-7.2857646,
2536041086,112.7993039,-7.2830547,
2536041088,112.7993915,-7.2830583,
2536041092,112.7985639,-7.281836,
2536041094,112.7985681,-7.2819032,
6013987536,112.7901936,-7.2799484,
6013987537,112.7903277,-7.2804858,
7679937241,112.800587,-7.2837743,
7679937242,112.7982174,-7.2805277,
7679937245,112.7978244,-7.2793843,
5561060077,112.801491,-7.2869787,
5561060091,112.8014454,-7.2857317,
5561060098,112.8002053,-7.2852884,
4213697289,112.7941633,-7.2902687,
4213697290,112.7939991,-7.2890184,
4213697291,112.7943887,-7.288954,
4213697292,112.7944817,-7.2895984,
6618557197,112.7978083,-7.2853241,
6618557198,112.797002,-7.2853227,
4213697297,112.7948058,-7.2888889,
4213697298,112.7949692,-7.2900972,
4213697299,112.7953051,-7.2888248,
4213697300,112.7953879,-7.2895149,
5558758178,112.7940144,-7.2794975,
5558758181,112.7947429,-7.2761086,
5558758182,112.7926351,-7.2816605,
5558758184,112.7926533,-7.2815383,
5558758185,112.7926132,-7.2815117,
5558758187,112.7925375,-7.2815273,
5558758197,112.7952053,-7.2793212,
5558758198,112.7945883,-7.2797595,
5558758199,112.7955835,-7.2812534,
5558758202,112.7969757,-7.2808507,
5558758204,112.7956961,-7.2790278,
5558758206,112.7963103,-7.2786168,
5558758207,112.7965832,-7.2783268,
9676344129,112.7920228,-7.2840763,
5558758210,112.7960255,-7.2767431,
5558758217,112.7959418,-7.2768155,
5558758215,112.7959958,-7.2769243,
5558758219,112.7956693,-7.2761251,
5558758220,112.7954608,-7.2763223,
11465198464,112.7952452,-7.2791312,
11465198465,112.7944245,-7.2791208,
6856854495,112.7935634,-7.2850963,
6856854502,112.7922242,-7.2884459,
10870385664,112.7866829,-7.2788484,
3122244633,112.800677,-7.2878918,
8226458662,112.8009211,-7.2832103,
6880365627,112.8015192,-7.2839533,
6880365641,112.7977484,-7.280836,
6880365647,112.7967449,-7.2811005,
6880365664,112.7962988,-7.2815638,
9676827817,112.794143,-7.2825166,
9676827818,112.7942786,-7.2823841,
2108345642,112.796263,-7.2815609,
2108345641,112.7957807,-7.2810659,
10669469004,112.7925241,-7.2890828,
7679241613,112.8018497,-7.2756402,
3121802669,112.7981061,-7.2789361,
3121802672,112.7979493,-7.2790491,
5560724923,112.7919497,-7.2759149,
7648644549,112.792492,-7.2890582,
9207369328,112.793576,-7.28602,
5563289205,112.7998482,-7.2742972,
5560915140,112.7998293,-7.2799581,
2108427900,112.7977922,-7.2801435,
5438779021,112.7956649,-7.2859593,
2108608250,112.7908467,-7.2762654,
2108608251,112.7909124,-7.2764441,
2108608253,112.7910359,-7.2765499,
2108608254,112.7912047,-7.2766939,
2108608256,112.7910651,-7.2773184,
1847217946,112.7905253,-7.2888085,
1847217949,112.7913521,-7.288425,
1847217951,112.7905691,-7.2880036,
1847217964,112.7922093,-7.288858,
1847217973,112.7907327,-7.2880001,
1847217980,112.7912716,-7.2892925,
1226567490,112.7919253,-7.2906674,
1847217988,112.7904995,-7.2892527,
1847217991,112.7905535,-7.2883801,
1847218002,112.791026,-7.2888318,
1847218003,112.7912958,-7.2888444,
9676820309,112.7936932,-7.2814968,
1722847204,112.8024492,-7.2781392,
1722847208,112.8011421,-7.2782663,
3010007024,112.7901989,-7.2790585,
3010007027,112.7904919,-7.2789206,
7687221253,112.7910727,-7.2768646,
7687221254,112.7910346,-7.2768629,
7687221255,112.7910656,-7.2772798,
1362399237,112.7981854,-7.2855615,
1362399272,112.7935896,-7.2890968,
5563912233,112.8015461,-7.2776004,
5563912235,112.8003498,-7.277647,
1362399277,112.7955922,-7.2864541,
5563912238,112.7998569,-7.2749338,
5563912237,112.8005204,-7.274923,
5563912239,112.800772,-7.2762513,
5563912236,112.8010297,-7.277635,
1362399295,112.7927851,-7.2809351,
10669469759,112.7924805,-7.2890517,
1362399304,112.793634,-7.2862876,
1362399307,112.7911536,-7.2800635,
1362399310,112.7978444,-7.2788751,
5558759521,112.7961301,-7.2768485,
5558759522,112.7960255,-7.2769322,
5558759526,112.7979208,-7.279522,
5558759523,112.798013,-7.2796065,
5558759531,112.797571,-7.2828724,
5558759534,112.797799,-7.2828803,
5558759541,112.7942169,-7.2821793,
5558759542,112.793767,-7.2817376,
5558759544,112.7936472,-7.2818491,
5558759545,112.7921436,-7.2800621,
1362399347,112.7931119,-7.2833646,
5558759549,112.7927098,-7.280661,
5558759550,112.792983,-7.280418,
5558759553,112.7923939,-7.2805327,
5558759557,112.7931111,-7.2804496,
4454871172,112.7965707,-7.2773293,
5558759559,112.7919156,-7.2781839,
5558759561,112.7916935,-7.2781816,
5558759564,112.7916929,-7.2781112,
1362399373,112.7933478,-7.2829413,
5558759567,112.7920644,-7.2762828,
5558759568,112.7920258,-7.2760164,
1362399377,112.7931263,-7.2875639,
1362399380,112.7907434,-7.2795,
1362399383,112.7932212,-7.2833251,
1362399385,112.7937157,-7.2899935,
1362399420,112.7906682,-7.2795639,
1362399435,112.7941052,-7.2824739,
1362399443,112.7943201,-7.2877289,
1362399473,112.7956782,-7.2870821,
1362399475,112.7933912,-7.2815504,
1362399480,112.79592,-7.2887341,
1362399509,112.7936388,-7.2871262,
1362399512,112.794077,-7.2822861,
2110296345,112.792802,-7.2758178,
2110296351,112.7927364,-7.2761298,
2110296352,112.7927231,-7.2765036,
1362399535,112.7925312,-7.2890615,
1362399538,112.7911864,-7.2799835,
1362399543,112.793087,-7.2832359,
1362399547,112.7924262,-7.2900919,
6618640725,112.7940573,-7.2770882,
6618640726,112.7945382,-7.2771015,
6618640731,112.7944658,-7.2775811,
6618640737,112.7944579,-7.2778611,
6618640742,112.7932432,-7.2777694,
6618640750,112.7930602,-7.2780075,
10008375689,112.7860718,-7.2766874,
5558759533,112.7972136,-7.2830686,
5558759536,112.7972182,-7.2831836,
4454871173,112.7975971,-7.2766115,
6618556539,112.800276,-7.2882667,
4454871184,112.7989696,-7.277161,
420401750,112.7809621,-7.2805031,
1682379358,112.789757,-7.2763561,
3121795711,112.797999,-7.2871224,
7627936392,112.7965553,-7.2875362,
3121795720,112.7980004,-7.2872017,
5291766435,112.7945573,-7.2761089,
1365144287,112.7955368,-7.2762495,
1365144306,112.7950532,-7.2756936,
1682379512,112.789779,-7.2767397,
6618556548,112.8010625,-7.2877704,
1365144344,112.7949238,-7.2757579,
1682379547,112.7898173,-7.2771922,
5555663705,112.7898482,-7.2840974,
5555663708,112.7898059,-7.2845272,
5555663709,112.7897577,-7.2850567,
6877565794,112.8001828,-7.2746179,
6877565795,112.8000956,-7.2761251,
2108765037,112.7969913,-7.2857504,
6877565804,112.8010839,-7.2779344,
6877565806,112.8004369,-7.2779423,
1682379658,112.7898772,-7.2777458,
6877565852,112.8007708,-7.2739421,
6877565860,112.8009026,-7.283021,
6877565872,112.8014327,-7.2761823,
6877565875,112.8013729,-7.2762303,
6877565876,112.8007851,-7.2763292,
5555975108,112.8016492,-7.2849174,
5555975109,112.7998832,-7.2844434,
5555975110,112.7998877,-7.2834167,
1682379719,112.7866422,-7.2782022,
5555975111,112.8002152,-7.284438,
5555975112,112.8002437,-7.2835694,
839668691,112.7897764,-7.2793016,
2108232682,112.7977261,-7.2818892,
839668716,112.7858276,-7.2818661,
1682379780,112.7898813,-7.2784035,
2108593157,112.7967897,-7.277746,
2108593160,112.7965617,-7.2780006,
839668745,112.7898059,-7.2794672,
839668753,112.7898756,-7.2800347,
6751564840,112.7950182,-7.2762182,
6751564841,112.7949437,-7.2762176,
6751564842,112.7959429,-7.2774015,
6751564843,112.7958094,-7.2773955,
6751564844,112.7910693,-7.2770058,
6751564845,112.7910727,-7.2768707,
6751564846,112.791196,-7.2770836,
6751564847,112.7912037,-7.2768112,
6751564850,112.793486,-7.2818314,
6751564876,112.7927084,-7.2804033,
7874876495,112.7973571,-7.2872702,
7874876496,112.7973282,-7.2870907,
5560915092,112.8010522,-7.277016,
5560915093,112.8009128,-7.2769965,
5560915096,112.8015158,-7.277061,
5560915098,112.8015747,-7.276521,
5560915101,112.8008974,-7.2819384,
5560915102,112.8009061,-7.2827026,
5560915104,112.8005759,-7.2832787,
5560915105,112.8002341,-7.2832793,
5560915106,112.8005636,-7.2827022,
5560915107,112.8002315,-7.2827063,
5560915115,112.8014621,-7.2756185,
1365152950,112.7994152,-7.2857149,
1365152951,112.7963695,-7.2861968,
1365152952,112.7978089,-7.2868772,
1365152953,112.7992931,-7.2861659,
1365152954,112.7965236,-7.2872197,
1365152956,112.7982795,-7.2868103,
5560915134,112.8013256,-7.2825975,
5560915135,112.8014854,-7.2826102,
1365152957,112.7977474,-7.2864192,
1365152959,112.7990481,-7.287043,
1365152963,112.7991698,-7.2866347,
1365152961,112.7977858,-7.2870374,
5560915149,112.8005593,-7.2819352,
5560915150,112.8002365,-7.2834094,
5560915152,112.799896,-7.2819369,
5560915156,112.8002363,-7.2819314,
5560915157,112.8011151,-7.2819426,
5560915158,112.8011054,-7.2827172,
6751581504,112.7950484,-7.2795646,
6865638759,112.7936969,-7.2881351,
6865638760,112.793266,-7.2881669,
6865638761,112.7939658,-7.2877805,
6865638762,112.7939151,-7.2874219,
6865638765,112.7920539,-7.288859,
3010008433,112.7950921,-7.2757742,
3010008437,112.797775,-7.2747903,
3010008445,112.8008314,-7.2743833,
3010008446,112.8009656,-7.2750066,
3010008451,112.8017848,-7.2760848,
3010008452,112.801789,-7.2760343,
